lineup,slot,name,pos,team,opp,salary,proj_points
21,DST,Green Bay Packers,DST,GB,DET,1700,4.090223037491468
21,TOTAL,,,,,50000,162.50770760494945
22,QB,Joe Burrow,QB,CIN,CLE,6900,25.160115556261616
22,RB,Alvin Kamara,RB,NO,ARI,6300,20.545504949860987
22,RB,Joe Mixon,RB,HOU,LAR,6200,19.695997088228143
22,WR,Chris Godwin,WR,TB,ATL,5600,21.541841330788394
22,WR,Tee Higgins,WR,CIN,CLE,6400,20.021117380951825
22,WR,Stefon Diggs,WR,NE,LV,5300,15.983333100351272
22,TE,George Kittle,TE,SF,SEA,5800,17.378204033649645
22,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.867967835191259
22,DST,New England Patriots,DST,NE,LV,2400,6.29265082690995
22,TOTAL,,,,,50000,162.4867321021931
23,QB,Sam Darnold,QB,SEA,SF,5300,20.19940915438094
23,RB,Jahmyr Gibbs,RB,DET,GB,7700,24.321095446006957
23,RB,Alvin Kamara,RB,NO,ARI,6300,20.545504949860987
23,WR,Chris Godwin,WR,TB,ATL,5600,21.541841330788394
23,WR,Tee Higgins,WR,CIN,CLE,6400,20.021117380951825
23,WR,Stefon Diggs,WR,NE,LV,5300,15.983333100351272
23,TE,George Kittle,TE,SF,SEA,5800,17.378204033649645
23,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.867967835191259
23,DST,Las Vegas Raiders,DST,LV,NE,2500,6.607283368255447
23,TOTAL,,,,,50000,162.46575659943673
24,QB,Sam Darnold,QB,SEA,SF,5300,20.19940915438094
24,RB,Alvin Kamara,RB,NO,ARI,6300,20.545504949860987
24,RB,Chuba Hubbard,RB,CAR,JAX,6000,17.94454260807154
24,WR,Ja'Marr Chase,WR,CIN,CLE,8100,25.78938063895261
24,WR,Chris Godwin,WR,TB,ATL,5600,21.541841330788394
24,WR,Tee Higgins,WR,CIN,CLE,6400,20.021117380951825
24,TE,George Kittle,TE,SF,SEA,5800,17.378204033649645
24,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.867967835191259
24,DST,Denver Broncos,DST,DEN,TEN,1400,3.146325413454975
24,TOTAL,,,,,50000,162.4342933453022
25,QB,Baker Mayfield,QB,TB,ATL,6600,24.384021954276054
25,RB,Alvin Kamara,RB,NO,ARI,6300,20.545504949860987
25,RB,Joe Mixon,RB,HOU,LAR,6200,19.695997088228143
25,WR,Chris Godwin,WR,TB,ATL,5600,21.541841330788394
25,WR,Tee Higgins,WR,CIN,CLE,6400,20.021117380951825
25,WR,Jakobi Meyers,WR,LV,NE,5100,15.867967835191259
25,TE,George Kittle,TE,SF,SEA,5800,17.378204033649645
25,FLEX,Chuba Hubbard,RB,CAR,JAX,6000,17.94454260807154
25,DST,Indianapolis Colts,DST,IND,MIA,2000,5.03412066152796
25,TOTAL,,,,,50000,162.4133178425458
26,QB,Baker Mayfield,QB,TB,ATL,6600,24.384021954276054
26,RB,Alvin Kamara,RB,NO,ARI,6300,20.545504949860987
26,RB,Joe Mixon,RB,HOU,LAR,6200,19.695997088228143
26,WR,Chris Godwin,WR,TB,ATL,5600,21.541841330788394
26,WR,Tee Higgins,WR,CIN,CLE,6400,20.021117380951825
26,WR,Davante Adams,WR,LAR,HOU,6100,18.752099464191648
26,TE,George Kittle,TE,SF,SEA,5800,17.378204033649645
26,FLEX,Stefon Diggs,WR,NE,LV,5300,15.983333100351272
26,DST,Green Bay Packers,DST,GB,DET,1700,4.090223037491468
26,TOTAL,,,,,50000,162.39234233978942
27,QB,Sam Darnold,QB,SEA,SF,5300,20.19940915438094
27,RB,Alvin Kamara,RB,NO,ARI,6300,20.545504949860987
27,RB,Kenneth Walker III,RB,SEA,SF,5900,17.556495807078758
27,WR,Ja'Marr Chase,WR,CIN,CLE,8100,25.78938063895261
27,WR,Chris Godwin,WR,TB,ATL,5600,21.541841330788394
27,WR,Tee Higgins,WR,CIN,CLE,6400,20.021117380951825
27,TE,George Kittle,TE,SF,SEA,5800,17.378204033649645
27,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.867967835191259
27,DST,New Orleans Saints,DST,NO,ARI,1500,3.460957954800472
27,TOTAL,,,,,50000,162.3608790856549
28,QB,Baker Mayfield,QB,TB,ATL,6600,24.384021954276054
28,RB,Alvin Kamara,RB,NO,ARI,6300,20.545504949860987
28,RB,Joe Mixon,RB,HOU,LAR,6200,19.695997088228143
28,WR,Chris Godwin,WR,TB,ATL,5600,21.541841330788394
28,WR,Tee Higgins,WR,CIN,CLE,6400,20.021117380951825
28,WR,Jakobi Meyers,WR,LV,NE,5100,15.867967835191259
28,TE,George Kittle,TE,SF,SEA,5800,17.378204033649645
28,FLEX,Kenneth Walker III,RB,SEA,SF,5900,17.556495807078758
28,DST,Miami Dolphins,DST,MIA,IND,2100,5.348753202873457
28,TOTAL,,,,,50000,162.33990358289853
29,QB,Baker Mayfield,QB,TB,ATL,6600,24.384021954276054
29,RB,Alvin Kamara,RB,NO,ARI,6300,20.545504949860987
29,RB,Joe Mixon,RB,HOU,LAR,6200,19.695997088228143
29,WR,Chris Godwin,WR,TB,ATL,5600,21.541841330788394
29,WR,Davante Adams,WR,LAR,HOU,6100,18.752099464191648
29,WR,Stefon Diggs,WR,NE,LV,5300,15.983333100351272
29,TE,George Kittle,TE,SF,SEA,5800,17.378204033649645
29,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.867967835191259
29,DST,Detroit Lions,DST,DET,GB,3000,8.180446074982935
29,TOTAL,,,,,50000,162.32941583152032
30,QB,Sam Darnold,QB,SEA,SF,5300,20.19940915438094
30,RB,Alvin Kamara,RB,NO,ARI,6300,20.545504949860987
30,RB,Joe Mixon,RB,HOU,LAR,6200,19.695997088228143
30,WR,Chris Godwin,WR,TB,ATL,5600,21.541841330788394
30,WR,Tee Higgins,WR,CIN,CLE,6400,20.021117380951825
30,WR,Davante Adams,WR,LAR,HOU,6100,18.752099464191648
30,TE,George Kittle,TE,SF,SEA,5800,17.378204033649645
30,FLEX,Stefon Diggs,WR,NE,LV,5300,15.983333100351272
30,DST,Detroit Lions,DST,DET,GB,3000,8.180446074982935
30,TOTAL,,,,,50000,162.2979525773858
31,QB,Joe Burrow,QB,CIN,CLE,6900,25.160115556261616
31,RB,Alvin Kamara,RB,NO,ARI,6300,20.545504949860987
31,RB,Joe Mixon,RB,HOU,LAR,6200,19.695997088228143
31,WR,Chris Godwin,WR,TB,ATL,5600,21.541841330788394
31,WR,Tee Higgins,WR,CIN,CLE,6400,20.021117380951825
31,WR,Jakobi Meyers,WR,LV,NE,5100,15.867967835191259
31,TE,George Kittle,TE,SF,SEA,5800,17.378204033649645
31,FLEX,Chuba Hubbard,RB,CAR,JAX,6000,17.94454260807154
31,DST,Green Bay Packers,DST,GB,DET,1700,4.090223037491468
31,TOTAL,,,,,50000,162.24551382049486
32,QB,Baker Mayfield,QB,TB,ATL,6600,24.384021954276054
32,RB,Jahmyr Gibbs,RB,DET,GB,7700,24.321095446006957
32,RB,Alvin Kamara,RB,NO,ARI,6300,20.545504949860987
32,WR,Chris Godwin,WR,TB,ATL,5600,21.541841330788394
32,WR,Davante Adams,WR,LAR,HOU,6100,18.752099464191648
32,WR,Stefon Diggs,WR,NE,LV,5300,15.983333100351272
32,TE,George Kittle,TE,SF,SEA,5800,17.378204033649645
32,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.867967835191259
32,DST,New Orleans Saints,DST,NO,ARI,1500,3.460957954800472
32,TOTAL,,,,,50000,162.23502606911669
33,QB,Sam Darnold,QB,SEA,SF,5300,20.19940915438094
33,RB,Jahmyr Gibbs,RB,DET,GB,7700,24.321095446006957
33,RB,Alvin Kamara,RB,NO,ARI,6300,20.545504949860987
33,WR,Chris Godwin,WR,TB,ATL,5600,21.541841330788394
33,WR,Tee Higgins,WR,CIN,CLE,6400,20.021117380951825
33,WR,Jakobi Meyers,WR,LV,NE,5100,15.867967835191259
33,TE,George Kittle,TE,SF,SEA,5800,17.378204033649645
33,FLEX,Chuba Hubbard,RB,CAR,JAX,6000,17.94454260807154
33,DST,Carolina Panthers,DST,CAR,JAX,1800,4.404855578836965
33,TOTAL,,,,,50000,162.2245383177385
34,QB,Sam Darnold,QB,SEA,SF,5300,20.19940915438094
34,RB,Alvin Kamara,RB,NO,ARI,6300,20.545504949860987
34,RB,Joe Mixon,RB,HOU,LAR,6200,19.695997088228143
34,WR,Ja'Marr Chase,WR,CIN,CLE,8100,25.78938063895261
34,WR,Chris Godwin,WR,TB,ATL,5600,21.541841330788394
34,WR,Stefon Diggs,WR,NE,LV,5300,15.983333100351272
34,TE,George Kittle,TE,SF,SEA,5800,17.378204033649645
34,FLEX,Chuba Hubbard,RB,CAR,JAX,6000,17.94454260807154
34,DST,Denver Broncos,DST,DEN,TEN,1400,3.146325413454975
34,TOTAL,,,,,50000,162.2245383177385
35,QB,Joe Burrow,QB,CIN,CLE,6900,25.160115556261616
35,RB,Alvin Kamara,RB,NO,ARI,6300,20.545504949860987
35,RB,Joe Mixon,RB,HOU,LAR,6200,19.695997088228143
35,WR,Chris Godwin,WR,TB,ATL,5600,21.541841330788394
35,WR,Tee Higgins,WR,CIN,CLE,6400,20.021117380951825
35,WR,Davante Adams,WR,LAR,HOU,6100,18.752099464191648
35,TE,George Kittle,TE,SF,SEA,5800,17.378204033649645
35,FLEX,Stefon Diggs,WR,NE,LV,5300,15.983333100351272
35,DST,Denver Broncos,DST,DEN,TEN,1400,3.146325413454975
35,TOTAL,,,,,50000,162.2245383177385
36,QB,Sam Darnold,QB,SEA,SF,5300,20.19940915438094
