lineup,slot,name,pos,team,opp,salary,proj_points
35,DST,Denver Broncos,DST,DEN,TEN,1400,2.9960664060662054
35,TOTAL,,,,,50000,154.47718389677354
36,QB,Sam Darnold,QB,SEA,SF,5300,19.234746326945043
36,RB,Jahmyr Gibbs,RB,DET,GB,7700,23.159593318891773
36,RB,Alvin Kamara,RB,NO,ARI,6300,19.564313631612322
36,WR,Chris Godwin,WR,TB,ATL,5600,20.513067993533287
36,WR,Tee Higgins,WR,CIN,CLE,6400,19.06496923060129
36,WR,Davante Adams,WR,LAR,HOU,6100,17.856555780154586
36,TE,George Kittle,TE,SF,SEA,5800,16.548273449505675
36,FLEX,Stefon Diggs,WR,NE,LV,5300,15.220017342816325
36,DST,New Orleans Saints,DST,NO,ARI,1500,3.295673046672826
36,TOTAL,,,,,50000,154.4572101207331
37,QB,Sam Darnold,QB,SEA,SF,5300,19.234746326945043
37,RB,Jahmyr Gibbs,RB,DET,GB,7700,23.159593318891773
37,RB,Joe Mixon,RB,HOU,LAR,6200,18.755375701974447
37,WR,Chris Godwin,WR,TB,ATL,5600,20.513067993533287
37,WR,Tee Higgins,WR,CIN,CLE,6400,19.06496923060129
37,WR,Davante Adams,WR,LAR,HOU,6100,17.856555780154586
37,TE,George Kittle,TE,SF,SEA,5800,16.548273449505675
37,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.110161574593898
37,DST,Carolina Panthers,DST,CAR,JAX,1800,4.194492968492688
37,TOTAL,,,,,50000,154.43723634469268
38,QB,Joe Burrow,QB,CIN,CLE,6900,23.958544360509425
38,RB,Alvin Kamara,RB,NO,ARI,6300,19.564313631612322
38,RB,Joe Mixon,RB,HOU,LAR,6200,18.755375701974447
38,WR,Chris Godwin,WR,TB,ATL,5600,20.513067993533287
38,WR,Tee Higgins,WR,CIN,CLE,6400,19.06496923060129
38,WR,Jakobi Meyers,WR,LV,NE,5100,15.110161574593898
38,TE,George Kittle,TE,SF,SEA,5800,16.548273449505675
38,FLEX,Kenneth Walker III,RB,SEA,SF,5900,16.718050545849426
38,DST,Carolina Panthers,DST,CAR,JAX,1800,4.194492968492688
38,TOTAL,,,,,50000,154.42724945667243
39,QB,Joe Burrow,QB,CIN,CLE,6900,23.958544360509425
39,RB,Alvin Kamara,RB,NO,ARI,6300,19.564313631612322
39,RB,Joe Mixon,RB,HOU,LAR,6200,18.755375701974447
39,WR,Chris Godwin,WR,TB,ATL,5600,20.513067993533287
39,WR,Davante Adams,WR,LAR,HOU,6100,17.856555780154586
39,WR,Stefon Diggs,WR,NE,LV,5300,15.220017342816325
39,TE,George Kittle,TE,SF,SEA,5800,16.548273449505675
39,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.110161574593898
39,DST,San Francisco 49ers,DST,SF,SEA,2700,6.890952733952274
39,TOTAL,,,,,50000,154.41726256865226
40,QB,Russell Wilson,QB,NYG,WAS,5000,16.997683410415608
40,RB,Alvin Kamara,RB,NO,ARI,6300,19.564313631612322
40,RB,Joe Mixon,RB,HOU,LAR,6200,18.755375701974447
40,WR,Ja'Marr Chase,WR,CIN,CLE,8100,24.557757641722667
40,WR,Chris Godwin,WR,TB,ATL,5600,20.513067993533287
40,WR,Tee Higgins,WR,CIN,CLE,6400,19.06496923060129
40,TE,George Kittle,TE,SF,SEA,5800,16.548273449505675
40,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.110161574593898
40,DST,New Orleans Saints,DST,NO,ARI,1500,3.295673046672826
40,TOTAL,,,,,50000,154.407275680632
41,QB,Baker Mayfield,QB,TB,ATL,6600,23.219514647013092
41,RB,Alvin Kamara,RB,NO,ARI,6300,19.564313631612322
41,RB,Jonathan Taylor,RB,IND,MIA,6800,19.234746326945043
41,WR,Chris Godwin,WR,TB,ATL,5600,20.513067993533287
41,WR,Tee Higgins,WR,CIN,CLE,6400,19.06496923060129
41,WR,Jakobi Meyers,WR,LV,NE,5100,15.110161574593898
41,TE,George Kittle,TE,SF,SEA,5800,16.548273449505675
41,FLEX,Joe Mixon,RB,HOU,LAR,6200,18.755375701974447
41,DST,Pittsburgh Steelers,DST,PIT,NYJ,1200,2.3968531248529645
41,TOTAL,,,,,50000,154.407275680632
42,QB,Baker Mayfield,QB,TB,ATL,6600,23.219514647013092
